objectid_1,objectid,acreage,sqft,final_cat,type,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,globalid_2,shape_area,shape_length
25,114,2.80961088,122386.16025268,Neighborhood Park,NP,3,Manchester Playground,Manchester School Park,Manchester School Park,Northern,1734.43395184,98a049bc-a038-4cf7-bc06-a8ab9c41582f,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northern,2.80961087692343,5e1bb9cc-aa4f-4d27-b2c0-bc85ae5c82ed,19661.42578125,572.715091524558
27,106,1.15757262,50423.66174269,Beautification Site,BTF,16,Liberty Avenue Island,Liberty Avenue Island,Liberty Avenue Island,State,2220.12911752,ab150e5d-67ff-4b95-a634-3e3c5397f38b,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,6th Division,1.15757262254229,3c19540a-d052-49a6-8e75-5da9be70839f,8096.93359375,888.84205288506
28,209,1.61390665,70301.49267475,Beautification Site,BTF,16,Fort Duquesne Blvd Strip,Fort Duquesne Blvd Strip,Fort Duquesne Blvd Strip,State,8077.47299568,683f2117-5293-470b-89bd-a70f4e6775bd,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,6th Division,1.61390665476499,0471a213-0a9a-4f88-a88c-72e72e6701c5,11289.78515625,3232.34408314909
29,218,8.83743664,384957.20034375,Neighborhood Park,NP,1,,Washington's Landing Park,,,,,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northern,8.83743664318581,0ef0bf55-0cdd-4de1-8caf-179745d10b78,61865.47265625,1258.3431999142
30,134,0.89138456,38828.55601983,Beautification Site,BTF,12,Negley Run Blvd,Negley Run Blvd,Negley Run Blvd,Northeast,1568.61965766,0d64322c-0c5d-4008-9652-0cf4c8e5075e,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,2nd Division,0.891384557725449,11a9f84b-4913-4d45-8233-815093aa3a97,6239.703125,628.000685950562
31,88,0.05664555,2467.47026864,Beautification Site,BTF,12,Highland Ave Plant Strip,Highland Ave Plant Strip,Highland Ave Plant Strip,Northeast,361.07461526,646d5e11-0ec7-4f5b-81ad-0e50bd2bfcbe,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,2nd Division,5.66455495535085E-02,45342bcd-ce9a-4be8-96fc-299b8a02151e,396.50390625,144.567812257912
32,136,0.15624296,6805.91594567,Beautification Site,BTF,12,Negley-Collins Triangle,Negley-Collins Triangle,Negley-Collins Triangle,Northeast,340.7149413,6800cfe2-5d26-4f19-a71f-8e507978ad94,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,2nd Division,0.156242956138908,93313f72-6ce7-483a-b663-8a492abdb760,1093.6796875,136.510972072081
33,124,0.6059212,26393.82169747,Beautification Site,BTF,11,McPherson Blvd Strip,McPherson Blvd Strip,McPherson Blvd Strip,Eastern,2418.06827803,7b7961f7-5e49-410f-a46c-cb27d41465fc,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Eastern,0.605921195433321,bc98e26b-3493-4488-911d-e1fb78e3793c,4239.94921875,968.221965195105
34,179,0.59164129,25771.79164892,Beautification Site,BTF,11,Thomas Blvd Planting Strip,Thomas Blvd Planting Strip,Thomas Blvd Planting Strip,Eastern,2507.73330983,241f501a-1070-401c-b117-168461d0d1ca,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Eastern,0.591641293305781,d63c545c-8e87-4e1d-af56-686e8939f187,4139.921875,1004.09444420046
35,100,0.12453154,5424.57228537,Beautification Site,BTF,10,Le Roi Rd Island,Le Roi Rd Island,Le Roi Rd Island,Eastern,541.81569145,f6aa791b-e26a-4809-8abb-6b6b83fc14cc,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,3rd Division,0.124531542325976,4a5449f4-e353-4728-8b40-0f76d30298ea,871.21484375,217.385188566091
